New Column Name,New Column Documentation,Source Column ID,Source Column Documentation,Relationship,Condition,Prerequisite
SKIN,Did (s)he have any skin problems?,Id10228,(Id10228) Did (s)he have sores?,eq,yes,
SKIN,Did (s)he have any skin problems?,Id10233,"(Id10233) During the illness that led to death, did (s)he have any skin rash?",eq,yes,
SKIN_LES,"Did (s)he have any ulcers, abscess or sores anywhere except on the feet?",Id10230,(Id10230) Did (s)he have an ulcer (pit) on the foot?,eq,no,SKIN
SMEDIC,"Were there any problems getting medications, or diagnostic tests in the hospital or health facility?",Id10454,(Id10454) Were there any problems getting medications or diagnostic tests in the hospital or health facility?,eq,yes,
SMOBPH,"In the final days before death, did anyone use a telephone or cell phone to call for help?",Id10458,"(Id10458) In the final days before death, did anyone use a telephone or cell phone to call for help?",eq,yes,
SMOKING,"Did (s)he smoke tobacco (cigarette, cigar, pipe, etc.)?",Id10413,"(Id10413) Did (s)he smoke tobacco (cigarette, cigar, pipe, etc.)?",eq,yes,
SMORE2,Does it take more than 2 hours to get to the nearest hospital or health facility from the deceased's household?,Id10455,(Id10455) Does it take more than 2 hours to get to the nearest hospital or health facility from the deceased's household?,eq,yes,
ST_SUCK,Did the baby stop suckling of bottle feeding 3 days after birth?,Id10274,(Id10274) How many days after birth did the baby stop suckling?,ge,3,
STIFF_NECK,Did (s)he have a stiff or painful neck?,Id10208,(Id10208) Did (s)he have a stiff neck during illness that led to death?,eq,yes,
STRADM,"In the final days before death, was traditional medicine used?",Id10457,"(Id10457) In the final days before death, was traditional medicine used?",eq,yes,
STRANS,Did (s)he use motorised transport to get to the hospital or health facility?,Id10451,(Id10451) Did (s)he use motorised transport to get to the hospital or health facility?,eq,yes,
STREAT,"Were there any problems with the way (s)he was treated (medical treatment, procedures, inter?personal attitudes, respect, dignity) in the hospital or health facility?",Id10453,"(Id10453) Were there any problems with the way (s)he was treated (medical treatment, procedures, interpersonal attitudes, respect, dignity) in the hospital or health facility?",eq,yes,
STROKE, Was there any diagnosis of Stroke,Id10141,(Id10141) Was there any diagnosis by a health professional of stroke?,eq,yes,
SUDDEN,Did (s)he die suddenly?,Id10123,(Id10123) Did (s)he die suddenly?,eq,yes,
SUICIDE,Do you think (s)he committed suicide?,Id10099,(Id10099) Was the injury self-inflicted?,eq,yes,
SUR_1M,Did (s)he have the operation within 1 month before death?,Id10426,(Id10426) Did (s)he have the operation within 1 month before death?,eq,yes,
SURGERY,Did (s)he have (or need) an operation for the illness?,Id10418,(Id10418) Did (s)he receive any treatment for the illness that led to death?,eq,yes,
SURGERY,Did (s)he have (or need) an operation for the illness?,Id10425,(Id10425) Did (s)he have (or need) an operation for the illness?,eq,yes,
SWE_ABD,Did (s)he have a more than usually protruding abdomen?,Id10200,(Id10200) Did (s)he have a more than usually protruding belly (abdomen)?,eq,yes,
SWE_ARMP,Did (s)he have any lumps on the armpit?,Id10256,(Id10256) Did (s)he have any lumps on the armpit?,eq,yes,
SWE_BREAST,Did she have an ulcer or swelling in the breast?,Id10294,(Id10294) Did she have any swelling or lump in the breast?,eq,yes,
SWE_GEN,Did (s)he have any lumps on the groin?,Id10257,(Id10257) Did (s)he have any lumps on the groin?,eq,yes,
SWE_LEGS,Did (s)he have both feet swollen?,Id10251,(Id10251) Did (s)he have both feet swollen?,eq,yes,
SWE_NECK,Did (s)he have any lumps on the neck?,Id10255,(Id10255) Did (s)he have any lumps on the neck?,eq,yes,
SWE_ORAL,Did (s)he have any lumps or lesions in the mouth?,Id10254,(Id10254) Did (s)he have any lumps or lesions in the mouth?,eq,yes,
SWE_OTH,Did (s)he have swelling (puffiness) of the face?,Id10247,(Id10247) Did (s)he have puffiness of the face?,eq,yes,
SWELL,Did (s)he have any lumps?,Id10253,(Id10253) Did (s)he have any lumps?,eq,yes,
T_IV,Did (s)he receive (or need) intravenous fluids (drip) treatment?,Id10420,(Id10420) Did (s)he receive (or need) intravenous fluids (drip) treatment?,eq,yes,
T_NGT,Did (s)he receive (or need) treatment/food through a tube passed through the nose?,Id10422,(Id10422) Did (s)he receive (or need) treatment/food through a tube passed through the nose?,eq,yes,
T_ORT,Did (s)he receive oral rehydration salts?,Id10419,(Id10419) Did (s)he receive oral rehydration salts?,eq,yes,
TERM_ATT,Did she attempt to terminate the pregnancy?,Id10333,(Id10333) Did she attempt to terminate the pregnancy?,eq,yes,
TRAFFIC,Was it a road traffic accident?,Id10079,(Id10079) Was it a road traffic accident?,eq,yes,
TREAT,Did (s)he receive any treatment for the illness that led to death?,Id10418,(Id10418) Did (s)he receive any treatment for the illness that led to death?,eq,yes,
TUBER,Was there any diagnosis of Tuberculosis,Id10125,(Id10125) Was there any diagnosis by a health professional of tuberculosis?,eq,yes,
TWIN,Was the child part of a multiple birth?,Id10354,(Id10354) Was the child part of a multiple  birth?,eq,yes,
UMBINF,Did the baby have redness or discharge from the umbilical cord stump?,Id10287,(Id10287) Did the baby have redness or pus drainage from the umbilical cord stump?,eq,yes,
UNC_CON,Did (s)he become unconscious immediately after the convulsion?,Id10222,(Id10222) Did (s)he become unconscious immediately after the convulsion?,eq,yes,
UNDER5,Was (s)he aged 1 to 4 years at death?,age_child_years,[Enter child's age in years:],between,1 to 4,
UNDER5,Was (s)he aged 1 to 4 years at death?,age_group,[What age group corresponds to the deceased?],eq,child,
UNDER5,Was (s)he aged 1 to 4 years at death?,ageInYears,Calculated field: int(${ageInDays} div 365.25),between,1 to 4,
UNW_D1,Did the baby become unresponsive or unconscious soon after birth (within less than 24 hours)?,Id10282,"(Id10282) Did the baby become unresponsive or unconscious soon after birth, within less than 24 hours?",eq,yes,
UNW_D2,Did the baby become unresponsive or unconscious more than 1 day after birth?,Id10283,(Id10283) Did the baby become unresponsive or unconscious more than 24 hours after birth?,eq,yes,
URI_HAEM,During the final illness did (s)he ever pass blood in the urine?,Id10226,(Id10226) During the final illness did (s)he ever pass blood in the urine?,eq,yes,
URI_RET,Did (s)he pass no urine at all?,Id10224,(Id10224) Did (s)he stop urinating?,eq,yes,
URINE,Did (s)he have any urine problems?,Id10223,(Id10223) Did (s)he have any urine problems?,eq,yes,
VACCIN,Was (s)he adequately vaccinated?,Id10428,(Id10428) Did (s)he receive any immunizations?,eq,yes,
VB_AFTER,Did she had vaginal bleeding after menopause?,Id10300,(Id10300) Did she have vaginal bleeding after cessation of menstruation?,eq,yes,
VB_BET,Did she have excessive vaginal bleeding in between menstrual periods?,Id10298,(Id10298) Was the bleeding excessive?,eq,yes,
VB_MEN,Did her vaginal bleeding stopped naturally during menopause?,Id10299,(Id10299) Did her menstrual period stop naturally because of menopause or removal of uterus?,eq,yes,
VENOM,Did (s)he suffer from any plant/animal/insect bite or sting that led to her/his death?,Id10086,(Id10086) Was (s)he injured by a bite or sting by venomous animal?,eq,yes,
VENOM,Did (s)he suffer from any plant/animal/insect bite or sting that led to her/his death?,Id10087,(Id10087) Was (s)he injured by an animal or insect (non-venomous)?,eq,yes,
VIS_BL,During the last 3 months of pregnancy did she suffer from blurred vision?,Id10324,(Id10324) During the last 3 months of pregnancy did she suffer from blurred vision?,eq,yes,
VOMITING,Did (s)he vomit?,Id10188,(Id10188) Did (s)he vomit?,eq,yes,
WASTING,Was (s)he severely thin or wasted?,Id10244,(Id10244) Was (s)he severely thin or wasted?,eq,yes,
WATERS,Was the baby born 24 hours or more after the water broke?,Id10383,(Id10383) Was the baby born 24 hours or more after the water broke?,eq,yes,
WET_SEAS,Did (s)he die during the wet season?,Id10004,(Id10004) [During which season did (s)he die?],eq,wet,
WHEEZE,Did (s)he have noisy breathing (grunting or wheezing)?,Id10173,(Id10173) During the illness that led to death did his/her breathing sound like any of the following:,contains,wheezing,
WHEEZE,Did (s)he have noisy breathing (grunting or wheezing)?,Id10173,(Id10173) During the illness that led to death did his/her breathing sound like any of the following:,contains,stridor,
WHEEZE,Did (s)he have noisy breathing (grunting or wheezing)?,Id10173,(Id10173) During the illness that led to death did his/her breathing sound like any of the following:,contains,grunting,
WHOOP,Did (s)he make a whooping sound when coughing?,Id10158,(Id10158) Did (s)he make a whooping sound when coughing?,eq,yes,
WT_LOSS,Did (s)he have noticeable weight loss?,Id10243,(Id10243) Did (s)he have noticeable weight loss?,eq,yes,
YELLOW,Did (s)he have yellow discoloration of the eyes?,Id10265,(Id10265) Did (s)he have yellow discoloration of the eyes?,eq,yes,
YELLOW,Did (s)he have yellow discoloration of the eyes?,Id10477,(Id10477) [Select any of the following words that were mentioned as present in the narrative.],contains,jaundice,
YELLOW,Did (s)he have yellow discoloration of the eyes?,Id10478,(Id10477) [Select any of the following words that were mentioned as present in the narrative.],contains,jaundice,
