New Column Name,New Column Documentation,Source Column ID,Source Column Documentation,Relationship,Condition,Prerequisite,Notes/Epistemic Status
i087o, Was (s)he injured by an animal or insect (non-venomous) inj anim,3E340,Did (s)he suffer from any plant/ animal/insect bite or sting  that led to her/his death?,eq,yes,,
i095o, Was (s)he injured by a force of nature? inj nature,3E500,Was (s)he injured by a force of nature?,eq,yes,,
i084o, Was (s)he poisoned in any way? inj poison,3E510,Was there any poisoning?,eq,yes,,
i090o," Was (s)he subject to violence (suicide, homicide, abuse)? inj viol",3E520,Was (s)he subject to violence/assault?,eq,yes,,closest match
i094o, Was (s)he injured by a blunt force? inj blfor,3E520,Was (s)he subject to violence/assault?,eq,yes,,
i100o, Was the injury or accident intentionally inflicted by someone else? inj int,3E530,Was the injury intentionally inflicted by someone else?,eq,yes,,
i091o, Was (s)he injured by a fire arm? inj gun,3E600,was (s)he injured by a FIRE ARM?,eq,yes,,
i092o," Was (s)he stabbed, cut or pierced? inj stab",3E610,"Was (s)he injured from a stab, cut or pierce?",eq,yes,,
i099o, Was the injury or accident self-inflicted? inj suic,3E700,Do you think (s)he committed suicide?,eq,yes,,
i411o, Did (s)he drink alcohol?alco,3F100,Did (s)he drink alcohol?,eq,yes,,
i413o," Did (s)he smoke tobacco (cigarette, cigar, pipe, etc.)?smoke",3F110,"Did (s)he smoke tobacco (cigarette, cigar, pipe, etc.)?",eq,yes,,
i428o, Did (s)he receive appropriate immunizations?immun,3G100,Was (s)he adequately vaccinated?,eq,yes,,
i419o, Did (s)he receive oral rehydration salts?tr ors,3G120,Did (s)he receive oral rehydration salts?,eq,yes,,
i420o, Did (s)he receive (or need) intravenous fluids (drip) treatment?tr drip,3G130,Did (s)he receive (or need) intravenous fluids (drip) treatment?,eq,yes,,
i421o, Did (s)he receive (or need) a blood transfusion?tr blood,3G140,Did (s)he receive (or need) a blood transfusion?,eq,yes,,
i422o, Did (s)he receive (or need) treatment/food through a tube passed through the nose?tr ngt,3G150,Did (s)he receive (or need) treatment/food through a tube passed through the nose?,eq,yes,,
i423o, Did (s)he receive (or need) injectable antibiotics?tr inj ab,3G160,Did (s)he receive (or need) injectable antibiotics?,eq,yes,,
i418o, Did (s)he receive any treatment for the illness that led to death?treat,3G170,Did (s)he have (or need) an operation for the illness?,eq,yes,,
i425o, Did (s)he have (or need) an operation for the illness?tr oper,3G170,Did (s)he have (or need) an operation for the illness?,eq,yes,,
i426o, Did (s)he have the operation within 1 month before death?tr op <1m,3G180,Did (s)he have the operation within 1 month before death?,eq,yes,,
i427o, Was (s)he discharged from hospital very ill?tr disc ill,3G190,Was (s)he discharged from hospital very ill?,eq,yes,,
i450o," In the final days before death, did s/he travel to a hospital or health facility?q trav",4A100,"in the final days before death, did  (S)HE travel to a hospital or health facility?",eq,yes,,
i451o, Did (s)he use motorised transport to get to the hospital or health facility?q trans,4A110,did  (s)he use motorised transport to get to the hospital or health facility?,eq,yes,,
i452o, Were there any problems during admission to the hospital or health facility?q admit,4A120,Were there any problems during admission to the hospital or health facility?,eq,yes,,
i453o," Were there any problems with the way (s)he was treated (medical treatment, procedures, interpersonal attitudes, respect, dignity) in the hospital or health facility?q treat",4A130,"were there any problems with the way  (s)he was treated (medical treatment, procedures, INTER-PERSONAL attitudes, respect, dignity) in the hospital or health facility?",eq,yes,,
i454o," Were there any problems getting medications, or diagnostic tests in the hospital or health facility?q meds",4A140,"were there any problems getting MEDICATIONS,  or diagnostic tests in the hospital or health facility?",eq,yes,,
i455o, Does it take more than 2 hours to get to the nearest hospital or health facility from the deceased's household?q dist,4A150,Does it take more than 2 hours to get to the nearest hospital or health facility from the deceased's household?,eq,yes,,
i456o," In the final days before death, were there any doubts about whether medical care was needed?q doubt",4A160,"In the final days before death, were there any doubts about whether medical care was needed?",eq,yes,,
i457o," In the final days before death, was traditional medicine used?q tmed",4A170,"In the final days before death, was traditional medicine used?",eq,yes,,
i458o," In the final days before death, did anyone use a telephone or cell phone to call for help?q phone",4A180,"In the final days before death, did anyone use a telephone or cell phone to call for help?",eq,yes,,
i459o," Over the course of illness, did the total costs of care and treatment prohibit other household payments?q costs",4A190,"Over the course of illness, did the total costs of care and treatment prohibit other household payments?",eq,yes,,
i197b, Was the pain in the upper abdomen? abd p up,,,,,,not asked
i093o, Was (s)he strangled? inj strng,,,,,,not asked
i096o, Was (s)he electrocuted? inj elec,,,,,,not found in 2012 questionnaire
i098o, Was the injury accidental? inj accid,,,,,,not found in 2012 questionnaire
i104o, Did the baby ever cry? ever cry,,,,,,not found in 2012 questionnaire
i106a, Was it more than 5 minutes after birth before the baby first cried? cry 5+m,,,,,,not found in 2012 questionnaire
i107o, Did the baby stop being able to cry? cry stop,,,,,,not found in 2012 questionnaire
i108a, Did the baby stop crying more than a day before (s)he died? cry st 1+d,,,,,,not found in 2012 questionnaire
i109o, Did the baby ever move? ever move,,,,,,not found in 2012 questionnaire
i110o, Did the baby ever breathe? ever breathe,,,,,,not found in 2012 questionnaire
i112o, Did the baby have a breathing problem? brth prob,,,,,,Close to (3B180) Did (s)he have any breathing problem?
i115o, Were there any bruises or signs of injury on child's body after the birth? bruised,,,,,,not found in 2012 questionnaire
i130o, Was there any diagnosis by a health professional of dengue fever? dia deng,,,,,,not found in 2012 questionnaire
i148a, Did the fever last less than a week before death? fev <1w,,,,,,not found in 2012 questionnaire
i148b," Did the fever last at least one week, but less than 2 weeks before death? fev 1-2w",,,,,,not found in 2012 questionnaire
i149o, Did the fever continue until death? fev death,,,,,,not found in 2012 questionnaire
i150a, Was the fever severe? fev sev,,,,,,not found in 2012 questionnaire
i151a, Was the fever continuous? fev cont,,,,,,not found in 2012 questionnaire
i156o, Was the cough very severe? cou sev,,,,,,not found in 2012 questionnaire
i161a, Did the difficult breathing last for at least 3 days before death? dif br 3d,,,,,,not found in 2012 questionnaire
i165a, Was the difficult breathing continuous during this period? dif br con,,,,,,not found in 2012 questionnaire
i176a, Did (s)he experience chest pain at least 3 days before death? chp 3d,,,,,,not found in 2012 questionnaire
i178a, Did the chest pain last for at least 30 minutes? chp 30m,,,,,,not found in 2012 questionnaire
i183o, Did the baby or child have at least 4 stools on the day that loose liquid stools were most frequent? 4+ stls,,,,,,not found in 2012 questionnaire
i183o, Did the frequent loose or liquid stools start at least 3 days before death? drr 3d,,,,,,not found in 2012 questionnaire
i184a, Did the frequent loose or liquid stools start at least 3 days before death? drr 3d,,,,,,not found in 2012 questionnaire
i185o, Did the frequent loose or liquid stools continue up until death? drr to d,,,,,,not found in 2012 questionnaire
i187o, Was there blood in the stool up until death? dr bld d,,,,,,Close to 3B300
i189o, Did (s)he vomit in the week preceding the death? vom bd,,,,,,not found in 2012 questionnaire
i190o, Did (s)he vomit for at least 3 days before death? vom 3d,,,,,,not found in 2012 questionnaire
i194o, Did (s)he have abdominal pain? abd pain,,,,,,Close to 3B340
i199a, Was the pain in the lower abdomen? abd p lo,,,,,,not found in 2012 questionnaire
i199b, Was the pain in the lower abdomen? abd p lo,,,,,,not found in 2012 questionnaire
i203a, Did (s)he develop the protruding abdomen rapidly? abd pr rap,,,,,,not found in 2012 questionnaire
i213o, Did (s)he have mental confusion for at least 3 months before death?menc 3+m,,,,,,not found in 2012 questionnaire
i214o," During the illness that led to death, was (s)he unconscious?uncons",,,,,,not found in 2012 questionnaire
i216a, Was (s)he unsconscious for at least 6 hours before death?unc 6+h,,,,,,not found in 2012 questionnaire
i218o, Did the unconsciousness continue until death?unc to d,,,,,,not found in 2012 questionnaire
i220o, Did (s)he experience any generalized convulsions or fits?conv gen,,,,,,not found in 2012 questionnaire
i229o, Did the sores have clear fluid and/or pus?sk s pus,,,,,,not found in 2012 questionnaire
i231o, Did any ulcer ooze pus?sk ul pus,,,,,,not found in 2012 questionnaire
i232a, Did the ulcer ooze pus for at least 2 weeks?sk ul 2+w,,,,,,not found in 2012 questionnaire
i235a, Did (s)he have a rash on the face?sk ra face,,,,,,not found in 2012 questionnaire
i235b, Did (s)he have a rash on the trunk or abdomen?sk ra abd,,,,,,not found in 2012 questionnaire
i235c, Did (s)he have a rash on the extremities?sk ra ext,,,,,,not found in 2012 questionnaire
i235d, Did (s)he have a rash everywhere?sk ra all,,,,,,not found in 2012 questionnaire
i238o," During the illness that led to death, did her/his skin flake off in patches?sk flake",,,,,,not found in 2012 questionnaire
i239o," During the illness that led to death, did he/she have areas of the skin that turned black?sk black",,,,,,not found in 2012 questionnaire
i240o," During the illness that led to death, did he/she have areas of the skin with redness and swelling?sk red",,,,,,not found in 2012 questionnaire
i241o," During the illness that led to death, did (s)he bleed from anywhere?bleed",,,,,,not found in 2012 questionnaire
i248a, Did (s)he have puffiness of the face for at least one week before death?sw p f 1+w,,,,,,not found in 2012 questionnaire
i249o,"During the illness that led to death, did (s)he have swollen legs or feet?sw lg ft",,,,,,Close to (3B660) Did (s)he have both feet swollen?
i250a, Did the swelling last for at least 3 days before death?sw lf 3+d,,,,,,not found in 2012 questionnaire
i252o," During the illness that led to death, did (s)he have general puffiness all over his/her body?sw puf all",,,,,,not found in 2012 questionnaire
i258o," During the illness that led to death, was (s)he in any way paralysed?paral",,,,,,not found in 2012 questionnaire
i260a, Was only the right side of the body paralysed?par rs,,,,,,Close to (3B730) did (s)he have paralysis of one side of the body?
i260b, Was only the left side of the body paralysed?par ls,,,,,,Close to (3B730) did (s)he have paralysis of one side of the body?
i260c, Was only the lower part of the body paralysed?par lo,,,,,,Close to (3B730) did (s)he have paralysis of one side of the body?
i260d, Was only the upper part of the body paralysed?par up,,,,,,Close to (3B730) did (s)he have paralysis of one side of the body?
i260e, Was only one leg paralysed?par leg,,,,,,Close to (3B730) did (s)he have paralysis of one side of the body?
i260f, Was only one arm paralysed?par arm,,,,,,Close to (3B730) did (s)he have paralysis of one side of the body?
i260g, Was the entire body paralysed?par all,,,,,,Close to (3B730) did (s)he have paralysis of one side of the body?
i261o," During the illness that led to death, did (s)he have difficulty swallowing?swallow",,,,,,Close to (3B740) Did (s)he have difficulty or pain while swallowing liquids?
i262a, Did (s)he have difficulty swallowing for at least one week before death?swa 1+w,,,,,,not found in 2012 questionnaire
i263a, Did (s)he have difficulty with swallowing solids?swa sol,,,,,,Close to (3B740) Did (s)he have difficulty or pain while swallowing liquids?
i263a, Did (s)he have difficulty with swallowing liquids?swa liq,,,,,,Close to (3B740) Did (s)he have difficulty or pain while swallowing liquids?
i263b, Did (s)he have difficulty with swallowing liquids?swa liq,,,,,,Close to (3B740) Did (s)he have difficulty or pain while swallowing liquids?
i264o, Did (s)he have pain upon swallowing?swa pain,,,,,,not found in 2012 questionnaire
i266a, Did (s)he have the yellow discolouration for at least 3 weeks before death?yell 3+w,,,,,,not found in 2012 questionnaire
i272o, Did the baby ever suckle in a normal way?suck ev,,,,,,not found in 2012 questionnaire
i273o, Did the baby stop suckling?suck st,,,,,,not found in 2012 questionnaire
i274a, Did the baby stop suckling on the 2nd day of life or later?suck st d1,,,,,,not found in 2012 questionnaire
i281o," During the illness that led to death, did the baby become unresponsive or unconscious?unresp",,,,,,Close to (3D420) did the baby become unresponsive or unconscious more than 1 DAY after birth?
i285a, Was the baby more than 3 days old when it started feeling cold to touch?cold 3+d,,,,,,not found in 2012 questionnaire
i286o," During the illness that led to death, did the baby become lethargic, after a period of normal activity?lethargy",,,,,,not found in 2012 questionnaire
i288o," During the illness that led to death, did the baby have skin ulcer(s) or pits?sk ulcer",,,,,,not found in 2012 questionnaire
i290o, Did the baby or infant appear to be healthy and then just die suddenly?sudd d,,,,,,not found in 2012 questionnaire
i295o," During the illness that led to death, did she have any ulcers (pits) in the breast?sw ul bre",,,,,,Close to (3B720) did she have AN ULCER OR SWELLING in the breast?
i296o, Did she ever have a period or menstruate?menstr,,,,,,not found in 2012 questionnaire
i297o," During the illness that led to death, did she have excessive vaginal bleeding in between menstrual periods?men betw",,,,,,Close to (3B800) DID she have EXCESSIVE vaginal bleeding in between menstrual periods?
i301o, Was there excessive vaginal bleeding in the week prior to death?vb <1w,,,,,,Close to (3C340) Was there excessive vaginal bleeding during labour?
i302o, At the time of death was her period overdue?men late,,,,,,not found in 2012 questionnaire
i303a, Had her period been overdue for at least 4 weeks?men l 4+w,,,,,,not found in 2012 questionnaire
i304o, Did she have a sharp pain in her abdomen shortly before death?obs pain,,,,,,not found in 2012 questionnaire
i309o," Was she, or had she been, pregnant for less than 6 months when she died?d <6m pr",,,,,,not found in 2012 questionnaire
i313o," Did she die during labour, but before delivery?d lab",,,,,,not found in 2012 questionnaire
i315o, Did she die within 6 weeks of childbirth?d <6w chb,,,,,,not found in 2012 questionnaire
i330o, Was the placenta completely delivered?plnta del,,,,,,not found in 2012 questionnaire
i335o, Did she die during an abortion?d in abort,,,,,,not found in 2012 questionnaire
i336o, Did she die within 6 weeks of having an abortion?d after ab,,,,,,Close to (3C120) did she die within 6 weeks of GIVING BIRTH?
i355a," If the child was part of a multiple birth, was it born first?mult fir",,,,,,not found in 2012 questionnaire
i356o, Is the child's mother still alive?moth aliv,,,,,,not found in 2012 questionnaire
i357o, Did the child's mother die during or shortly after the delivery?moth d del,,,,,,Close to (3C200) Did she die within 24 hours after delivery?
i357o, Was the baby born in a health facility or clinic?born fac,,,,,,Close to (3C200) Did she die within 24 hours after delivery?
i358a, Did the child's mother die in the baby's first year of life?,,,,,,
i362o," At birth, was the baby of usual size?bwt norm",,,,,,not found in 2012 questionnaire
i364o," At birth, was the baby very much smaller than usual, (weighing under 1 kg)?bwt vsmall",,,,,,"Close to (3D190) WAS the baby smaller than NORMAL, WEIGHING under 2.5 KG?"
i368o," Were there any complications in the late part of the pregnancy (defined as the last 3 months), but before labour?cmp bf lab",,,,,,not found in 2012 questionnaire
i376o, Was the baby moving in the last few days before the birth?bab mov,,,,,,not found in 2012 questionnaire
i382a, Did labour and delivery take more than 24 hours?lab 24+h,,,,,,not found in 2012 questionnaire
i384o, Was the liquor foul smelling when the waters broke?liq smell,,,,,,not found in 2012 questionnaire
i385a, Was the liquor a green or brown colour when the waters broke?liq gr-br,,,,,,not found in 2012 questionnaire
i391o, Did the child's mother receive any vaccinations since reaching adulthood including during this pregnancy?moth vacc,,,,,,not found in 2012 questionnaire
i395o," During labour, did the baby's mother suffer from fever?moth fev",,,,,,not found in 2012 questionnaire
i397o, Did the baby's mother have diabetes mellitus?moth diab,,,,,,not found in 2012 questionnaire
i401o, Did the baby's mother have severe anaemia?moth anaem,,,,,,not found in 2012 questionnaire
i405o, Was the umbilical cord delivered first?cord first,,,,,,not found in 2012 questionnaire
i412o, Did (s)he use tobacco?tobac,,,,,,not found in 2012 questionnaire
i414a, Did (s)he use non-smoking tobacco?tobac ns,,,,,,not found in 2012 questionnaire
i415a, Did (s)he smoke at least 10 cigarettes daily?cigs >10,,,,,,not found in 2012 questionnaire
i424o, Did (s)he receive (or need) antiretroviral therapy (ART)?tr art,,,,,,not found in 2012 questionnaire
